Issues / Notes	Ontology ID	parent class	Equivalence axiom	Subclass axiom	label	definition	references	definition source	alternative label	Reported	term tracker item	entity type	created	parent class ID	is about label	alt definition	is about	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym	Dbxref
	GENEPIO:0101641	protein name (MPOX)			mRNA capping enzyme large subunit protein (MPOX)	A protein name that denotes the mRNA capping enzyme large subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377095.1,GeneID:72551508
	GENEPIO:0101642	protein name (MPOX)			Virion protein D2 (MPOX)	A protein name that denotes the Virion protein D2 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377096.1,GeneID:72551509
	GENEPIO:0101643	protein name (MPOX)			Virion core protein D3 (MPOX)	A protein name that denotes the Virion core protein D3 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377097.1,GeneID:72551510
	GENEPIO:0101644	protein name (MPOX)			Uracil DNA glycosylase superfamily protein (MPOX)	A protein name that denotes the Uracil DNA glycosylase superfamily protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377098.1,GeneID:72551511
	GENEPIO:0101645	protein name (MPOX)			NTPase (1) protein (MPOX)	A protein name that denotes the NTPase (1) protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377099.1,GeneID:72551512
	GENEPIO:0101646	protein name (MPOX)			Early transcription factor 70 kDa subunit protein (MPOX)	A protein name that denotes the Early transcription factor 70 kDa subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377100.1,GeneID:72551513
	GENEPIO:0101647	protein name (MPOX)			RNA polymerase subunit RPO18 protein (MPOX)	A protein name that denotes the RNA polymerase subunit RPO18 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377101.1,GeneID:72551514
	GENEPIO:0101648	protein name (MPOX)			Carbonic anhydrase protein (MPOX)	A protein name that denotes the Carbonic anhydrase protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377102.1,GeneID:72551515
	GENEPIO:0101649	protein name (MPOX)			NUDIX domain protein (MPOX)	A protein name that denotes the NUDIX domain protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377103.1,GeneID:72551516
	GENEPIO:0101650	protein name (MPOX)			MutT motif protein (MPOX)	A protein name that denotes the MutT motif protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377104.1,GeneID:72551517
	GENEPIO:0101651	protein name (MPOX)			Nucleoside triphosphatase I protein (MPOX)	A protein name that denotes the Nucleoside triphosphatase I protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377105.1,GeneID:72551518
	GENEPIO:0101652	protein name (MPOX)			mRNA capping enzyme small subunit protein (MPOX)	A protein name that denotes the mRNA capping enzyme small subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377106.1,GeneID:72551519
	GENEPIO:0101653	protein name (MPOX)			Rifampicin resistance protein (MPOX)	A protein name that denotes the Rifampicin resistance protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377107.1,GeneID:72551520
	GENEPIO:0101654	protein name (MPOX)			Late transcription factor VLTF-2 (2) protein (MPOX)	A protein name that denotes the Late transcription factor VLTF-2 (2) protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377108.1,GeneID:72551521
	GENEPIO:0101655	protein name (MPOX)			Late transcription factor VLTF-3 (1) protein (MPOX)	A protein name that denotes the Late transcription factor VLTF-3 (1) protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377109.1,GeneID:72551522
	GENEPIO:0101656	protein name (MPOX)			S-S bond formation pathway protein (MPOX)	A protein name that denotes the S-S bond formation pathway protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377110.1,GeneID:72551523
	GENEPIO:0101657	protein name (MPOX)			Virion core protein P4b (MPOX)	A protein name that denotes the Virion core protein P4b (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377111.1,GeneID:72551524
	GENEPIO:0101658	protein name (MPOX)			A5L protein-like (MPOX)	A protein name that denotes the A5L protein-like (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377112.1,GeneID:72551525
	GENEPIO:0101659	protein name (MPOX)			DNA-directed RNA polymerase 19 kDa subunit protein (MPOX)	A protein name that denotes the DNA-directed RNA polymerase 19 kDa subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377113.1,GeneID:72551526
	GENEPIO:0101660	protein name (MPOX)			Virion morphogenesis protein (MPOX)	A protein name that denotes the Virion morphogenesis protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377114.1,GeneID:72551527
	GENEPIO:0101661	protein name (MPOX)			Early transcription factor 82 kDa subunit protein (MPOX)	A protein name that denotes the Early transcription factor 82 kDa subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377115.1,GeneID:72551528
	GENEPIO:0101662	protein name (MPOX)			Intermediate transcription factor VITF-3 (1) protein (MPOX)	A protein name that denotes the Intermediate transcription factor VITF-3 (1) protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377116.1,GeneID:72551529
	GENEPIO:0101663	protein name (MPOX)			IMV membrane protein A9 (MPOX)	A protein name that denotes the IMV membrane protein A9 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377117.1,GeneID:72551530
	GENEPIO:0101664	protein name (MPOX)			Virion core protein P4a (MPOX)	A protein name that denotes the Virion core protein P4a (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377118.1,GeneID:72551531
	GENEPIO:0101665	protein name (MPOX)			Viral membrane formation protein (MPOX)	A protein name that denotes the Viral membrane formation protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377119.1,GeneID:72551532
	GENEPIO:0101666	protein name (MPOX)			A12 protein (MPOX)	A protein name that denotes the A12 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377120.1,GeneID:72551533
	GENEPIO:0101667	protein name (MPOX)			IMV membrane protein A13L (MPOX)	A protein name that denotes the IMV membrane protein A13L (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377121.1,GeneID:72551534
	GENEPIO:0101668	protein name (MPOX)			IMV membrane protein A14 (MPOX)	A protein name that denotes the IMV membrane protein A14 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377122.1,GeneID:72551535
	GENEPIO:0101669	protein name (MPOX)			DUF1029 domain protein (MPOX)	A protein name that denotes the DUF1029 domain protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377123.1,GeneID:72551536
	GENEPIO:0101670	protein name (MPOX)			Core protein A15 (MPOX)	A protein name that denotes the Core protein A15 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377124.1,GeneID:72551537
